localidad,tipo,distancia,fuente,fecha_datetime,año,mes,día_semana,distancia_km,nombre_evento,semana,eventos_semana,semana_libre
"València, Catadau",Asfalto,10500 m,runedia,2025-03-25,2025,3,Martes,10.5,Volta a peu a Catadau,13,140,False
"València, Villanueva De Castellón",Montaña,21000 m,runedia,2025-03-25,2025,3,Martes,21.0,Cursa de Muntanya Font Amarga - Les Salines - 21km,13,140,False
"València, Villalonga",Btt,40000 m,runedia,2025-03-25,2025,3,Martes,40.0,Marxa BTT El Llop de Villalonga,13,140,False
"Alacant, La Vall De Gallinera",Montaña,14000 m,runedia,2025-03-25,2025,3,Martes,14.0,Arrapapedres - 14k,13,140,False
"València, Moncada",Asfalto,21097 m,runedia,2025-03-25,2025,3,Martes,21.1,Mitja marató Ciutat de Moncada,13,140,False
"Alacant, Benijófar",Asfalto,7500 m,runedia,2025-03-25,2025,3,Martes,7.5,Carrera popular Benijófar,13,140,False
"València, Vilamarxant",Montaña,23000 m,runedia,2025-03-25,2025,3,Martes,23.0,Trail Rodanes Vilamarxant,13,140,False
"València, Villanueva De Castellón",Montaña,12000 m,runedia,2025-03-25,2025,3,Martes,12.0,Cursa de Muntanya Font Amarga - Les Salines 12km,13,140,False
"València, Palma De Gandia",Pista,16300 m,runedia,2025-03-25,2025,3,Martes,16.3,Cursa per Muntanya Palma - Ador  /16Km,13,140,False
"València, Ayora",Montaña,14000 m,runedia,2025-03-25,2025,3,Martes,14.0,Sprint Trail de Ayora,13,140,False
"València, Ayora",Montaña,23000 m,runedia,2025-03-25,2025,3,Martes,23.0,Trail de Ayora,13,140,False
"València, Villar Del Arzobispo",Btt,60000 m,runedia,2025-03-25,2025,3,Martes,60.0,Marcha Btt Villar del Arzobispo - 60k,13,140,False
"Castelló, Castellón",Duatlón,27500 m,runedia,2025-03-25,2025,3,Martes,27.5,Duatlón Sprint Ciudad de Castellón,13,140,False
"Castelló, Vall D'Uixò",Montaña,11000 m,runedia,2025-03-25,2025,3,Martes,11.0,Mini Pipa,13,140,False
"Alacant, Alicante",Cross,21000 m,runedia,2025-03-25,2025,3,Martes,21.0,Cross de San Gabriel - 21Km,13,140,False
"Castelló, Catí",Btt,45000 m,runedia,2025-03-26,2025,3,Miércoles,45.0,BTT Tresor del Maestrat,13,140,False
"València, Ayora",Montaña,14000 m,runedia,2025-03-26,2025,3,Miércoles,14.0,I Sprint Trail de Ayora,13,140,False
"València, Ayora",Montaña,21000 m,runedia,2025-03-26,2025,3,Miércoles,21.0,Trail de Ayora,13,140,False
"Alacant, La Vila Joiosa",Asfalto,8700 m,runedia,2025-03-26,2025,3,Miércoles,8.7,X Cursa Popular i  Volta a Peu  la Vila Joiosa,13,140,False
"Castelló, La Vall D'Uixó",Btt,40000 m,runedia,2025-03-26,2025,3,Miércoles,40.0,La Machacá - Btt Ciutat Vall d'Uixó,13,140,False
"Alacant, Poble Nou De Benitatxell",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Cursa de la Dona Poble Nou de Benitatxell,13,140,False
"Alacant, Xàbia",Asfalto,4000 m,runedia,2025-03-26,2025,3,Miércoles,4.0,Cursa no Competitiva de la Dona,13,140,False
"Alacant, Novelda",Asfalto,10000 m,runedia,2025-03-26,2025,3,Miércoles,10.0,Run 4 Parkinson Novelda- 10km,13,140,False
"Alacant, Pinoso",Btt,38000 m,runedia,2025-03-26,2025,3,Miércoles,38.0,Btt Pedalà Villa de Pinoso,13,140,False
"València, Xativa",Montaña,22000 m,runedia,2025-03-26,2025,3,Miércoles,22.0,PerimeTrail Rett Serra Vernissa - Trail 22k,13,140,False
"València, Burjassot",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Runcancer. Burjassot,13,140,False
"València, Xàtiva",Caminata,7250 m,runedia,2025-03-26,2025,3,Miércoles,7.25,PerimeTrail Rett Serra Vernissa - Marxa,13,140,False
"València, Tuejar",Montaña,29000 m,runedia,2025-03-26,2025,3,Miércoles,29.0,Ultra Trail Tuejar - Trail 29k,13,140,False
"València, Sagunto",Montaña,16000 m,runedia,2025-03-26,2025,3,Miércoles,16.0,Carrera Trail CEAS Sagunto,13,140,False
"València, Xeraco",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Cursa de la dona contra el càncer Xeraco,13,140,False
"Alacant, Guardamar Del Segura",Asfalto,21097 m,runedia,2025-03-26,2025,3,Miércoles,21.1,Medio Maratón Dama de Guardamar del Segura,13,140,False
"València, Xàtiva",Canicross,7250 m,runedia,2025-03-26,2025,3,Miércoles,7.25,PerimeTrail Rett Serra Vernissa - Canicross,13,140,False
"Alacant, Novelda",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Run 4 Parkinson Novelda- 5km,13,140,False
"Alacant, Alicante",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Carrera popular playa de San Juan,13,140,False
"València, Rótova",Bici Carretera,120000 m,runedia,2025-03-26,2025,3,Miércoles,120.0,Marcha Cicloturista Ròtova-UTB Sports,13,140,False
"Alacant, Cocentaina",Asfalto,8000 m,runedia,2025-03-26,2025,3,Miércoles,8.0,Trail Fira de Tots Sants - Curta,13,140,False
"Alacant, Cocentaina",Montaña,21000 m,runedia,2025-03-26,2025,3,Miércoles,21.0,Trail Fira de Tots Sants - Llarga,13,140,False
"València, Alcúdia De Crespins",Montaña,12500 m,runedia,2025-03-26,2025,3,Miércoles,12.5,Sprint Trail L'Alcúdia de Crespins,13,140,False
"València, Comarca Camp De Túria",Otros,170000 m,runedia,2025-03-26,2025,3,Miércoles,170.0,XII Carrera de los Árboles y Castillos,13,140,False
"Castelló, Ares Del Maestrat",Btt,82000 m,runedia,2025-03-26,2025,3,Miércoles,82.0,XC Maratón Alt Maestrat,13,140,False
"Alacant, Onil",Montaña,25000 m,runedia,2025-03-26,2025,3,Miércoles,25.0,Trail Onil - 25k,13,140,False
"Alacant, Biar",Montaña,14000 m,runedia,2025-03-26,2025,3,Miércoles,14.0,Reconco Trail Biar - Sprint Trail,13,140,False
"Alacant, Onil",Caminata,14000 m,runedia,2025-03-26,2025,3,Miércoles,14.0,Trail Onil - Sender 14k,13,140,False
"Alacant, Orihuela",Duatlón,27500 m,runedia,2025-03-26,2025,3,Miércoles,27.5,Duatlon Orihuela - La Murada - Memorial Carmen y Joaquin,13,140,False
"València, Comarca Camp De Túria",,183000 m,runedia,2025-03-26,2025,3,Miércoles,183.0,XI Carrera de los Árboles y Castillos,13,140,False
"València, Villanueva De Castellón",Bici Carretera,186000 m,runedia,2025-03-26,2025,3,Miércoles,186.0,Ridley Memorial Pascual Momparler,13,140,False
"Alacant, Alicante",Montaña,10000 m,runedia,2025-03-26,2025,3,Miércoles,10.0,SerraGrossa Trail,13,140,False
"Castelló, Onda",Montaña,19000 m,runedia,2025-03-26,2025,3,Miércoles,19.0,Pujada al Montí D'Onda,13,140,False
"Alacant, Jacarilla",Asfalto,5000 m,runedia,2025-03-26,2025,3,Miércoles,5.0,Carrera Popular Jacarilla 5k,13,140,False
"València, Cheste",Asfalto,8000 m,runedia,2025-03-26,2025,3,Miércoles,8.0,Carrera contra el càncer Cheste,13,140,False
"Alacant, Alfaz Del Pi",Asfalto,16090 m,runedia,2025-03-27,2025,3,Jueves,16.09,10 Millas Costa Blanca,13,140,False
"Alacant, Gata De Gorgos",Ruta,9800 m,runedia,2025-03-27,2025,3,Jueves,9.8,Volta a peu Gata,13,140,False
"València, Favara",Caminata,11000 m,runedia,2025-03-27,2025,3,Jueves,11.0,Marxa senderista al pic de la mola,13,140,False
"València, Valencia",Ruta,6000 m,runedia,2025-03-27,2025,3,Jueves,6.0,Volta a peu centenari del Levante U.D.,13,140,False
"Alacant, Alicante",Ruta,2700 m,runedia,2025-03-27,2025,3,Jueves,2.7,Subida al Castillo de Santa Bárbara,13,140,False
"València, Gandia",Asfalto,5900 m,runedia,2025-03-27,2025,3,Jueves,5.9,Cursa de la dona- Vicky Foods,13,140,False
"Alacant, Beniali",Montaña,14000 m,runedia,2025-03-27,2025,3,Jueves,14.0,Arrapapedres - Sender,13,140,False
"Castelló, Segorbe",Ruta,21097 m,runedia,2025-03-27,2025,3,Jueves,21.1,Medio Maratón de Segorbe,13,140,False
"Castelló, Fondeguilla",Montaña,34500 m,runedia,2025-03-27,2025,3,Jueves,34.5,Volta al Terme eXXXprés de Fondeguilla,13,140,False
"Alacant, Biar",Montaña,40000 m,runedia,2025-03-27,2025,3,Jueves,40.0,Reconco Trail Biar - Llarga,13,140,False
"València, Tuéjar",Montaña,51000 m,runedia,2025-03-27,2025,3,Jueves,51.0,Ultra Trail Tuejar - UTT 51k,13,140,False
"Alacant, Beniali",Montaña,28000 m,runedia,2025-03-27,2025,3,Jueves,28.0,Arrapapedres - 28k,13,140,False
"Alacant, Onil",Montaña,14000 m,runedia,2025-03-27,2025,3,Jueves,14.0,Trail Onil - 14k,13,140,False
"Alacant, Biar",Montaña,25000 m,runedia,2025-03-27,2025,3,Jueves,25.0,Reconco Trail Biar,13,140,False
"València, Benifaio",Asfalto,10350 m,runedia,2025-03-27,2025,3,Jueves,10.35,Quart Marató Roquette Benifaio,13,140,False
"València, Tuejar",Montaña,16000 m,runedia,2025-03-27,2025,3,Jueves,16.0,Ultra Trail Tuejar - Sprint 16k,13,140,False
"Alacant, Onil",Montaña,40000 m,runedia,2025-03-27,2025,3,Jueves,40.0,Trail Onil - 40km,13,140,False
"Alacant, Villena",Caminata,17000 m,runedia,2025-03-27,2025,3,Jueves,17.0,Dia del Senderista de la Comunitat Valenciana,13,140,False
"València, València",Asfalto,5570 m,runedia,2025-03-27,2025,3,Jueves,5.57,Volta a Peu Runners Ciutat de València,13,140,False
"Castelló, Algimia De Almonacid",Montaña,26000 m,runedia,2025-03-27,2025,3,Jueves,26.0,Jabalí Trail Espadán - 26k,13,140,False
"València, Xàtiva",Canicross,7500 m,runedia,2025-03-27,2025,3,Jueves,7.5,PerimeTrail Rett Serra Vernissa - Canicross,13,140,False
"València, Xàtiva",Montaña,12000 m,runedia,2025-03-27,2025,3,Jueves,12.0,PerimeTrail Rett Serra Vernissa - Sprint Trail 12k,13,140,False
"Alacant, El Campello",Asfalto,5000 m,runedia,2025-03-28,2025,3,Viernes,5.0,5K Villa de el Campello,13,140,False
"València, Tuejar",Montaña,14000 m,runedia,2025-03-28,2025,3,Viernes,14.0,Ultra Trail Tuejar - Sprint 14k,13,140,False
"València, Tuéjar",Montaña,54000 m,runedia,2025-03-28,2025,3,Viernes,54.0,Ultra Trail Tuejar - UTT 54k,13,140,False
"València, Tuejar",Montaña,29500 m,runedia,2025-03-28,2025,3,Viernes,29.5,Ultra Trail Tuejar - Trail 30k,13,140,False
"Castelló, Vila-Real",Asfalto,5000 m,runedia,2025-03-28,2025,3,Viernes,5.0,5k Atletisme Vila-real,13,140,False
"València, Xirivella",Asfalto,7300 m,runedia,2025-03-28,2025,3,Viernes,7.3,Volta a Peu Ciutat de Xirivella,13,140,False
"València, Oliva",Asfalto,8500 m,runedia,2025-03-28,2025,3,Viernes,8.5,Carrera Solidaria Oliva contra el càncer,13,140,False
"Alacant, Elche",Triatlón,1500 m,runedia,2025-03-28,2025,3,Viernes,1.5,Triatlón Olímpico Ciudad de Elche,13,140,False
"Castelló, Castellon",Asfalto,10000 m,runedia,2025-03-28,2025,3,Viernes,10.0,10K Costa Azahar gran premio BP,13,140,False
"València, Tavernes De La Valldigna",Asfalto,6000 m,runedia,2025-03-28,2025,3,Viernes,6.0,Volta a peu a Tavernes de la Valldigna,13,140,False
"València, Tavernes De La Valldign",Asfalto,8000 m,runedia,2025-03-28,2025,3,Viernes,8.0,8K Falla Portal de Valldigna,13,140,False
"València, Sagunto",Montaña,16000 m,runedia,2025-03-29,2025,3,Sábado,16.0,III Carrera Trail CEAS Sagunto,13,140,False
"Castelló, Segorbe",Pista,22000 m,runedia,2025-03-29,2025,3,Sábado,22.0,"I Ruta Masias de Segorbe "" XVIII Medio Maratón de Segorbe""",13,140,False
"Alacant, El Poble Nou De Benitatxell",Asfalto,7600 m,runedia,2025-03-29,2025,3,Sábado,7.6,Cursa Popular El Poble Nou,13,140,False
"València, Alaquàs",Asfalto,5000 m,runedia,2025-03-29,2025,3,Sábado,5.0,Volteta a peu Alaquàs,13,140,False
"València, Vilamarxant",Montaña,29000 m,runedia,2025-03-29,2025,3,Sábado,29.0,Trail Rodanes Vilamarxant,13,140,False
"Alacant, Dénia",Asfalto,21097 m,runedia,2025-03-29,2025,3,Sábado,21.1,Mitja marató de Dénia i Quart de marató,13,140,False
"Alacant, Benissa",Montaña,65300 m,runedia,2025-03-29,2025,3,Sábado,65.3,Marató i Mitja La Perimetral a Benissa,13,140,False
"València, Sagunto",Montaña,7000 m,runedia,2025-03-29,2025,3,Sábado,7.0,Carrera Trail Montaña CEAS Sagunto,13,140,False
"València, Alaquàs",Asfalto,10000 m,runedia,2025-03-29,2025,3,Sábado,10.0,Volta a peu d'Alaquàs,13,140,False
"Alacant, Vilajoiosa",Cross,18000 m,runedia,2025-03-29,2025,3,Sábado,18.0,Trail El Cantal La Vila,13,140,False
"València, Tavernes De La Valldigna",Montaña,41780 m,runedia,2025-03-29,2025,3,Sábado,41.78,Valldigna Extrem,13,140,False
"València, Valencia",Asfalto,10000 m,runedia,2025-03-30,2025,3,Domingo,10.0,Sanitas Marca Running Series Valencia,13,140,False
"Alacant, Sant Joan DAlacant",Otros,5000 m,runedia,2025-03-30,2025,3,Domingo,5.0,Xtrem Running Sant Joan d´Alacant,13,140,False
"València, Cullera",Asfalto,6200 m,runedia,2025-03-30,2025,3,Domingo,6.2,I Carrera Solidaria LUPUS,13,140,False
"Alacant, Elche",Asfalto,21097 m,runedia,2025-03-30,2025,3,Domingo,21.1,Media Maratón Internacional Elche Oasis Mediterráneo,13,140,False
"Castelló, Atzeneta Del Maestrat",Duatlón,51000 m,runedia,2025-03-30,2025,3,Domingo,51.0,Ultra Sky Limits Penyagolosa,13,140,False
"Castelló, Castelló",Asfalto,5000 m,runedia,2025-03-30,2025,3,Domingo,5.0,Volta a peu a la Ciutat de Castelló,13,140,False
"València, Picassent",Asfalto,7000 m,runedia,2025-03-30,2025,3,Domingo,7.0,Carrera Solidaria Volta a Pota,13,140,False
"Alacant, Alicante",Cross,10000 m,runedia,2025-03-30,2025,3,Domingo,10.0,Cross de la Albufereta,13,140,False
"Alacant, Xàbia",Btt,28000 m,runedia,2025-03-30,2025,3,Domingo,28.0,IV Marxa BTT de Xàbia,13,140,False
"València, Sagunto",Montaña,16000 m,runedia,2025-03-30,2025,3,Domingo,16.0,II Carrera Trail Montaña CEAS Sagunto,13,140,False
"Alacant, Alfàs Del Pi",Cross,6500 m,runedia,2025-03-30,2025,3,Domingo,6.5,II Cross Popular y XVI Cross Escolar 2014 L´Alfas,13,140,False
"Alacant, Alcoi",Cross,5000 m,runedia,2025-03-30,2025,3,Domingo,5.0,Trofeu FILAES - Alcoi,13,140,False
"València, Algemesí",Asfalto,4000 m,runedia,2025-03-30,2025,3,Domingo,4.0,Carrera Benéfica contra la Enfermedad de Crohn y la Colitis Ulcerosa,13,140,False
"València, Tavernes De La Valldign",Asfalto,8000 m,runedia,2025-03-30,2025,3,Domingo,8.0,VI 8K Falla Portal de Valldigna,13,140,False
"Castelló, Moncofa",Duatlón,25750 m,runedia,2025-03-30,2025,3,Domingo,25.75,Duatló Crono de Moncofa,13,140,False
"Castelló, Vall De Almonacid",Montaña,43000 m,runedia,2025-03-30,2025,3,Domingo,43.0,Moriscos Trail 43K,13,140,False
"Alacant, Novleda",Cross,7500 m,runedia,2025-03-30,2025,3,Domingo,7.5,XXXI CROSS NOCTURNO BARRIO Maria AUXILIADORA NOVELDA,13,140,False
"València, San Antonio De Requena",Tierra,15000 m,runedia,2025-03-30,2025,3,Domingo,15.0,IV 15K La Vega Tierra del Vino,13,140,False
"València, Sagunto",Montaña,7000 m,runedia,2025-03-30,2025,3,Domingo,7.0,II Carrera Trail Montaña CEAS Sagunto,13,140,False
"Alacant, Fageca",Travesía,12000 m,runedia,2025-03-30,2025,3,Domingo,12.0,Barranc de Famorca,13,140,False
"Alacant, Monforte Del Cid",Bici Carretera,98000 m,runedia,2025-03-30,2025,3,Domingo,98.0,I Marcha Cicloturista Valle de las Uvas,13,140,False
"Castelló, Vila-Real",Asfalto,10000 m,runedia,2025-03-31,2025,3,Lunes,10.0,10k Efecte Vila-Real,14,129,False
"València, Cheste",Asfalto,8000 m,runedia,2025-03-31,2025,3,Lunes,8.0,Carrera contra el càncer - RunCáncer Cheste,14,129,False
"València, Tuéjar",Montaña,50500 m,runedia,2025-03-31,2025,3,Lunes,50.5,Ultra Trail Tuejar - UTT,14,129,False
"Alacant, El Campello",Otros,5000 m,runedia,2025-03-31,2025,3,Lunes,5.0,Xtrem Running Race El Campello,14,129,False
"València, Sueca",Asfalto,10580 m,runedia,2025-03-31,2025,3,Lunes,10.58,QUARTA MARATÓ CIUTAT DE SUECA,14,129,False
"València, Silla",Duatlón,27500 m,runedia,2025-03-31,2025,3,Lunes,27.5,Duatló Ciutat de Silla,14,129,False
"Castelló, Vall De Almonacid",Montaña,13000 m,runedia,2025-03-31,2025,3,Lunes,13.0,Moriscos Trail 13K,14,129,False
"València, Tuejar",Montaña,21000 m,runedia,2025-03-31,2025,3,Lunes,21.0,Clasificaciones Ultra Trail Tuejar - UTT 21k,14,129,False
"Castelló, Peñíscola",Obstáculos,7000 m,runedia,2025-03-31,2025,3,Lunes,7.0,Maori Race - Carrera de Obstáculos,14,129,False
"Alacant, Onil",Montaña,14000 m,runedia,2025-03-31,2025,3,Lunes,14.0,"Trail Onil, Trail Vall del Joguet - 14km",14,129,False
"València, Fontanars Dels Alforins",Montaña,14000 m,runedia,2025-03-31,2025,3,Lunes,14.0,Sprint Trail Fontanars dels Alforins,14,129,False
"Alacant, Onil",Caminata,14000 m,runedia,2025-03-31,2025,3,Lunes,14.0,"Trail Onil, Trail Vall del Joguet - Sender",14,129,False
"Alacant, Alicante",Asfalto,5000 m,runedia,2025-03-31,2025,3,Lunes,5.0,5k Village Alicante Puerto de Encuentro,14,129,False
"Castelló, Vila-Real",Asfalto,21097 m,runedia,2025-03-31,2025,3,Lunes,21.1,Mitja Marató Efecte de Vila-real,14,129,False
"València, Sueca",Asfalto,21097 m,runedia,2025-03-31,2025,3,Lunes,21.1,MITJA MARATÓ CIUTAT DE SUECA,14,129,False
"Castelló, Vall De Almonacid",Montaña,43000 m,runedia,2025-03-31,2025,3,Lunes,43.0,MORISCOS TRAIL 43k,14,129,False
"Castelló, Vall De Almonacid",Montaña,13000 m,runedia,2025-03-31,2025,3,Lunes,13.0,II MORISCOS TRAIL 13k,14,129,False
"Castelló, Vall De Almonacid",Montaña,23000 m,runedia,2025-03-31,2025,3,Lunes,23.0,II MORISCOS TRAIL 23k,14,129,False
"València, Fontanars Dels Alforins",Montaña,24000 m,runedia,2025-03-31,2025,3,Lunes,24.0,Trail Fontanars dels Alforins,14,129,False
"Alacant, San Isidro",Otros,10000 m,runedia,2025-03-31,2025,3,Lunes,10.0,CARRERA POPULAR CONTRA EL CANCER SAN ISIDRO,14,129,False
"Alacant, Alicante",Asfalto,10000 m,runedia,2025-03-31,2025,3,Lunes,10.0,10k Village Alicante Puerto de Encuentro,14,129,False
"València, Tuejar",Montaña,50000 m,runedia,2025-03-31,2025,3,Lunes,50.0,Clasificaciones Ultra Trail Tuejar - UTT 50k,14,129,False
"Alacant, Onil",Montaña,25000 m,runedia,2025-03-31,2025,3,Lunes,25.0,"Trail Onil, Trail Vall del Joguet - 25km",14,129,False
"Castelló, Vall De Almonacid",Montaña,23000 m,runedia,2025-03-31,2025,3,Lunes,23.0,Moriscos Trail 23K,14,129,False
"València, Tuejar",Montaña,12000 m,runedia,2025-03-31,2025,3,Lunes,12.0,Clasificaciones Ultra Trail Tuejar - UTT 12k,14,129,False
"València, Crevillent",Montaña,24600 m,runedia,2025-03-31,2025,3,Lunes,24.6,Campeonato de liga de carrera por montaña Crevillent FEMECV,14,129,False
"Castelló, Grao De Castellon",Asfalto,10000 m,runedia,2025-03-31,2025,3,Lunes,10.0,10K Costa Azahar gran premio BP,14,129,False
"Castelló, Atzeneta Del Maestrat",Montaña,27600 m,runedia,2025-04-01,2025,4,Martes,27.6,17 Pujada a la Nevera,14,129,False
"Castelló, La Vall D´Uixó",Duatlón,5000 m,runedia,2025-04-01,2025,4,Martes,5.0,Campeonato de España de Duatlón - Ciutat de la Vall d´Uixó,14,129,False
"València, Gátova",Montaña,42000 m,runedia,2025-04-01,2025,4,Martes,42.0,Gátova Trail 42k,14,129,False
"València, Valencia",Natación,2666 m,runedia,2025-04-01,2025,4,Martes,2.67,Patacona-Alboraia Mediterranean SUP-RACE,14,129,False
"València, Silla",Asfalto,10000 m,runedia,2025-04-01,2025,4,Martes,10.0,10K Dupont-Silla,14,129,False
"Alacant, Dénia",Asfalto,21097 m,runedia,2025-04-01,2025,4,Martes,21.1,Mitja Marató de Dénia,14,129,False
"València, La Llacuna (Villalonga)",Ruta,11800 m,runedia,2025-04-01,2025,4,Martes,11.8,Volta a peu Bonestar La Llacuna,14,129,False
"València, València",Asfalto,6500 m,runedia,2025-04-01,2025,4,Martes,6.5,Carrera de la Mujer,14,129,False
"Castelló, Albocasser",Montaña,31780 m,runedia,2025-04-01,2025,4,Martes,31.78,Campionat autonomic FEMECV,14,129,False
"València, Carrícola",Montaña,21097 m,runedia,2025-04-01,2025,4,Martes,21.1,Mitja Marató de Muntanya Carrícola-Compac,14,129,False
"València, Puçol",Asfalto,15000 m,runedia,2025-04-01,2025,4,Martes,15.0,XIX Gran fons Vila de Puçol,14,129,False
"Castelló, Onda",Asfalto,5000 m,runedia,2025-04-01,2025,4,Martes,5.0,5K Onda,14,129,False
"València, Valencia",Natación,1500 m,runedia,2025-04-01,2025,4,Martes,1.5,TRAVESSIA PLATJA DE LES PALMERES,14,129,False
"Alacant, Origuela",Btt,52000 m,runedia,2025-04-01,2025,4,Martes,52.0,Marcha Btt Orihuela,14,129,False
"Castelló, Vila-Real",Asfalto,5000 m,runedia,2025-04-01,2025,4,Martes,5.0,5K Rosarieres,14,129,False
"València, Cullera",Montaña,14000 m,runedia,2025-04-02,2025,4,Miércoles,14.0,Trail Cullera 14km,14,129,False
"València, Ollería",Montaña,22000 m,runedia,2025-04-02,2025,4,Miércoles,22.0,Trail de l'Ollería - 22k,14,129,False
"València, Xirivella",Asfalto,7300 m,runedia,2025-04-02,2025,4,Miércoles,7.3,Volta a peu Ciutat de Xirivella,14,129,False
"València, Tuéjar",Btt,38000 m,runedia,2025-04-02,2025,4,Miércoles,38.0,Marcha BTT San Diego,14,129,False
"Castelló, Alcudia De Veo",Montaña,45000 m,runedia,2025-04-02,2025,4,Miércoles,45.0,Alcudia de Veo Trail 45k,14,129,False
"València, L'Olleria",Montaña,13000 m,runedia,2025-04-02,2025,4,Miércoles,13.0,Sprint Trail de L'Olleria  - 13k,14,129,False
"Alacant, Dènia",Asfalto,10000 m,runedia,2025-04-02,2025,4,Miércoles,10.0,Volta a peu Dénia,14,129,False
"Alacant, Orihuela",Duatlón,27500 m,runedia,2025-04-02,2025,4,Miércoles,27.5,Duatlon Orihuela - La Matanza - Memorial Carmen y Joaquin,14,129,False
"València, Cullera",Montaña,7000 m,runedia,2025-04-02,2025,4,Miércoles,7.0,SprintTrail Cullera,14,129,False
"València, Fontanars Dels Alforins",Montaña,21000 m,runedia,2025-04-02,2025,4,Miércoles,21.0,Trail Fontanars dels Alforins,14,129,False
"València, Tavernes De La Valldigna",Montaña,10000 m,runedia,2025-04-02,2025,4,Miércoles,10.0,Sprint Trail Les Creus,14,129,False
"Castelló, Vila-Real",Asfalto,21097 m,runedia,2025-04-02,2025,4,Miércoles,21.1,Mitja Marató de Vila-real,14,129,False
"Castelló, Borriol",Montaña,21000 m,runedia,2025-04-02,2025,4,Miércoles,21.0,Mitja Marató de Montanya de Borriol - MABO 21,14,129,False
"Alacant, La Vall De Gallinera",Montaña,28000 m,runedia,2025-04-02,2025,4,Miércoles,28.0,Arrapapedres,14,129,False
"València, Benifairó De La Valldigna",Ruta,15700 m,runedia,2025-04-02,2025,4,Miércoles,15.7,Gran fons a la Valldigna,14,129,False
"València, Villanueva De Castellón",Montaña,12000 m,runedia,2025-04-02,2025,4,Miércoles,12.0,Cursa de Muntanya Font Amarga - Les Salines 15km,14,129,False
"València, Alaquàs",Asfalto,10000 m,runedia,2025-04-02,2025,4,Miércoles,10.0,XXX 10 K d'Alaquàs,14,129,False
"Castelló, Vila-Real",Asfalto,10000 m,runedia,2025-04-02,2025,4,Miércoles,10.0,10Km de la Mitja Marató de Vila-real,14,129,False
"València, Villar Del Arzobispo",Btt,40000 m,runedia,2025-04-02,2025,4,Miércoles,40.0,Marcha Btt Villar del Arzobispo,14,129,False
"Alacant, La Villa Joiosa",Asfalto,1609 m,runedia,2025-04-02,2025,4,Miércoles,1.61,Milla Urbana Popular La Vila Joiosa,14,129,False
"València, Villanueva De Castellón",Montaña,21000 m,runedia,2025-04-02,2025,4,Miércoles,21.0,Cursa i marxa de Muntanya Font Amarga - Les Salines - 21km,14,129,False
"València, Fontanars Dels Alforins",Montaña,12000 m,runedia,2025-04-02,2025,4,Miércoles,12.0,Sprint Trail Fontanars dels Alforins,14,129,False
"València, Gátova",Montaña,10000 m,runedia,2025-04-02,2025,4,Miércoles,10.0,10Km por montaña de Gátova,14,129,False
"València, Tavernes De La Valldigna",Montaña,22000 m,runedia,2025-04-02,2025,4,Miércoles,22.0,Trail les Creus,14,129,False
"València, Requena",Bici Carretera,130000 m,runedia,2025-04-02,2025,4,Miércoles,130.0,Marcha Cicloturista Requena Tierra de Vinos,14,129,False
"València, Llutxent",Btt,38000 m,runedia,2025-04-02,2025,4,Miércoles,38.0,Marxa BTT Gallos de Llutxent,14,129,False
"Castelló, Castellnovo",Btt,42940 m,runedia,2025-04-02,2025,4,Miércoles,42.94,Marcha Btt Las Ermitas de Castellnovo,14,129,False
"Castelló, Borriol",Montaña,42000 m,runedia,2025-04-02,2025,4,Miércoles,42.0,Marató de muntanya de Borriol MABO,14,129,False
"València, Alaquàs",Asfalto,5000 m,runedia,2025-04-02,2025,4,Miércoles,5.0,VI Volteta a peu Alaquàs,14,129,False
"Alacant, Elche",Ruta,21097 m,runedia,2025-04-03,2025,4,Jueves,21.1,Medio Maratón Ciudad de Elche,14,129,False
"València, Utiel",Btt,74000 m,runedia,2025-04-03,2025,4,Jueves,74.0,Marcha MTB machacacachas,14,129,False
"València, Vilamarxant",Montaña,28000 m,runedia,2025-04-03,2025,4,Jueves,28.0,Trail 3Pics Les Rodanes Vilamarxant - 28k,14,129,False
"Alacant, El Campello",Asfalto,10000 m,runedia,2025-04-03,2025,4,Jueves,10.0,10km El Campello,14,129,False
"Alacant, El Campello",Asfalto,5000 m,runedia,2025-04-03,2025,4,Jueves,5.0,5K El Campello,14,129,False
"Castelló, Vila-Real",Otros,20000 m,runedia,2025-04-03,2025,4,Jueves,20.0,Vila-Real Patins,14,129,False
"Alacant, Elche",Obstáculos,12000 m,runedia,2025-04-03,2025,4,Jueves,12.0,Egyptian Race Elche,14,129,False
"Castelló, Castelló",Ruta,5000 m,runedia,2025-04-03,2025,4,Jueves,5.0,Volta Popular a la Ciutat de Castelló,14,129,False
"Alacant, Castalla",Montaña,21000 m,runedia,2025-04-03,2025,4,Jueves,21.0,"Cursa per muntanya de Castalla, Trail Vall del Joguet",14,129,False
"València, Sagunt",Tierra,6000 m,runedia,2025-04-03,2025,4,Jueves,6.0,II Volta a peu per la Marjal dels moros,14,129,False
